PRICEK,DSALE,BEDROOM,SQFTK,LN_LOTSIZE,CENTRALAIR,BRICK,GARAGE,FIREPLACE,BASE_FIN,MASONRY,PUBOPEN,MICHLAKE,LAKE_RIVER,METRA_DIST,RAIL_DIST
329.9999989,0,3,1.429,8.221478947,1,1,2,0,1,1,0,0,0,1.90825,0.43977
406.5000008,0,3,1.986,8.221478947,1,1,2,0,0,1,0,0,0,1.72536,0.42522
400.0000016,0,3,1.698,8.221478947,1,1,0,0,1,1,0,0,0,1.70239,0.45912
379.9999994,0,3,1.879,8.229511119,1,1,0,0,0,1,0,0,1,2.04317,0.49735
379.9999994,0,3,1.43,8.286017468,1,1,2,1,1,1,0,0,1,1.9298,0.52653
368.000001,0,3,1.656,8.221478947,1,1,2,0,0,1,0,0,1,1.89372,0.52763
369.9999983,0,4,1.73,8.221478947,1,1,2,0,0,1,0,0,0,1.88857,0.52779
310.0000011,0,4,2.233,8.221478947,1,1,0,0,0,1,0,0,0,1.8216,0.49642
464.9999979,0,3,1.89,8.9226583,1,1,1,1,0,1,0,0,1,1.9229,0.55088
371.9999988,0,4,1.577,8.221478947,1,1,2,0,1,1,0,0,1,1.83025,0.58972
410.0000005,0,5,1.458,8.221478947,1,1,0,0,1,1,0,0,0,1.80473,0.5905
405.0000016,0,3,1.71,8.221478947,1,1,2,0,1,1,0,0,0,1.68082,0.58841
355.0000005,0,3,1.602,8.221478947,1,1,0,1,1,1,0,0,0,1.61932,0.58251
429.0000009,0,3,1.408,8.354674262,1,1,2,0,1,1,0,0,0,1.57219,0.55165
349.9999988,0,3,1.612,8.295798111,1,1,0,0,1,1,0,0,0,1.68191,0.62292
360.5000015,0,3,1.344,8.221478947,1,1,2,0,0,1,0,0,0,1.51732,0.60648
585.0000022,0,5,2.184,8.229511119,1,1,2,0,1,1,1,0,1,1.89374,0.50071
394.9999985,0,3,1.392,8.295798111,1,1,2,0,1,1,0,0,0,1.79269,0.69076
409.000002,0,3,1.921,8.50916102,1,1,2,2,0,1,0,0,0,1.70334,0.24204
492.5000002,0,4,2.224,8.914626128,1,1,1,2,0,1,0,0,0,1.72077,0.24429
481.4999999,0,4,1.966,8.557951184,1,1,1,1,1,1,0,0,0,1.60239,0.23505
438.0000003,0,3,1.679,8.452547998,1,1,2,1,0,1,0,0,0,1.59237,0.22896
285.0000002,0,4,2.7,8.569216219,1,1,3,1,1,1,0,0,0,1.76647,0.31441
462,1,3,1.707,8.740336743,1,1,2,0,1,1,0,0,0,1.53709,0.28393
390.0000007,0,5,1.924,8.229511119,1,1,0,0,0,1,0,0,0,1.68438,0.34321
343.0000013,0,3,1.129,8.367996885,0,0,2,0,0,1,1,0,0,1.36391,0.36969
356.9999997,0,3,1.104,8.244859396,0,1,1,1,0,1,0,0,0,1.36485,0.33158
400.0000016,0,3,1.901,8.620471541,1,1,2,2,1,1,1,0,0,1.48618,0.43474
590.0000024,0,3,1.914,8.221478947,1,1,2,1,0,1,1,0,0,1.40591,0.39657
349.9999988,0,3,1.366,8.25426877,1,1,2,0,1,1,1,0,0,1.22863,0.41058
324.9999996,0,3,0.946,7.919356191,1,1,2,0,1,1,1,0,0,1.62802,0.49242
368.000001,0,3,0.946,7.919356191,1,1,2,0,1,1,1,0,0,1.62802,0.49242
412.499998,0,3,1.846,8.221478947,1,1,0,2,0,1,1,0,0,1.55427,0.49646
432.0000012,0,3,2.313,8.226038429,1,1,2,3,0,1,1,0,0,1.51903,0.4632
427.5000011,0,3,1.967,8.34664209,1,1,0,2,1,1,1,0,0,1.34277,0.45874
362.9999988,0,3,1.462,8.254788926,1,1,0,0,0,1,1,0,0,1.40085,0.46454
386.0000006,0,3,1.711,8.431199478,1,1,0,0,1,1,1,0,0,1.36682,0.46302
430.000001,0,3,1.95,8.50916102,1,1,2,0,0,1,1,0,0,1.4903,0.55823
415.0000003,0,3,2.112,8.86939816,1,0,1,1,1,1,1,0,0,1.51725,0.59545
469.9999983,0,4,2.222,8.587278799,1,1,0,0,1,1,1,0,0,1.43869,0.66217
424.499998,0,4,2.13,8.914626128,1,1,1,2,0,1,1,0,0,1.33559,0.64878
319.9999985,0,2,0.831,8.659039916,1,1,1,0,1,1,0,0,0,1.46937,0.26254
352.4999996,0,2,0.831,8.659039916,1,1,1,0,1,1,0,0,0,1.46937,0.26254
329.9999989,0,3,0.926,8.672999643,1,1,1,1,1,1,0,0,0,1.64742,0.11679
340.0000012,0,5,2.858,8.548691858,1,1,2,0,0,1,0,0,0,1.54118,0.16368
390.0000007,0,3,1.205,8.407378325,1,1,2,0,1,1,1,0,0,1.56858,0.7014
348.9999996,0,3,0.96,8.229511119,1,1,2,0,1,1,0,0,0,0.75683,0.38155
430.000001,0,3,1.206,8.047189562,1,1,2,1,0,1,0,0,0,0.85557,0.43525
390.0000007,0,3,1.318,7.35372233,0,1,2,1,0,1,0,0,0,0.80593,0.42465
347.0000004,0,3,1.426,8.161375023,1,1,2,0,0,1,0,0,0,0.70762,0.38595
362.4999988,0,3,1.413,8.139148679,1,1,2,0,0,1,1,0,0,0.65925,0.35044
359.9999998,0,3,1.091,8.127995056,1,1,1,0,0,1,1,0,0,0.68932,0.39332
250.0000008,0,2,1.052,8.047189562,1,1,0,0,1,1,0,0,0,0.62643,0.12176
356.5000004,0,2,1.052,8.047189562,1,1,0,0,1,1,0,0,0,0.62643,0.12176
74.99999981,0,3,1.072,8.536995819,1,1,2,0,0,1,1,0,0,0.73472,0.54906
356.9999997,0,3,0.838,8.575650761,1,0,2,0,1,0,1,0,0,0.70601,0.52158
397.0000001,0,3,1.62,8.575650761,1,0,2,0,0,0,1,0,0,0.69302,0.51613
400.0000016,0,3,1.103,8.722254235,1,1,2,0,0,1,1,0,0,0.71408,0.53246
328.0000009,0,3,1.36,8.229511119,1,0,2,0,0,0,0,0,0,0.86665,0.62473
349.9999988,0,3,0.96,8.229511119,0,1,1,0,0,1,0,0,0,0.78415,0.59033
299.9999989,0,3,1.245,8.418477218,1,1,2,0,0,1,1,0,0,0.97225,0.67855
297.0000007,0,3,1.837,8.216088099,0,1,3,1,0,1,1,0,0,0.65242,0.45859
406.0000006,0,3,0.977,8.216088099,0,1,1,1,0,1,1,0,0,0.66719,0.46782
435,0,3,1.368,8.415160466,1,1,2,0,0,1,1,0,0,0.65203,0.46409
654.999997,0,4,2.298,8.229511119,1,1,2,1,1,1,0,0,0,0.81049,0.56905
384.9999987,0,3,0.894,8.229511119,1,1,2,0,0,1,0,0,0,0.74858,0.54707
345.0000014,0,3,1.399,8.229511119,1,1,2,0,1,1,0,0,0,0.76943,0.55971
315.0000007,0,2,0.934,8.203577737,1,1,2,0,0,1,1,0,0,0.52203,0.37539
250.0000008,0,2,2.022,8.418477218,0,1,2,0,1,0,0,0,0,0.81717,0.59397
377.9999983,0,2,2.022,8.418477218,0,1,2,0,1,0,0,0,0,0.81717,0.59397
390.0000007,0,3,1.162,8.418477218,0,1,2,0,0,1,0,0,0,0.78952,0.57195
369.9999983,0,3,1.537,8.418477218,0,1,2,2,1,1,1,0,0,0.90325,0.62365
307.0000011,0,2,0.978,7.937374696,1,1,2,1,1,1,1,0,0,1.67097,0.63825
364.9999991,0,3,1.04,7.937374696,1,1,2,0,0,1,0,0,0,1.60472,0.56131
252.0000009,0,2,1.17,8.573384471,0,1,2,0,1,1,0,0,0,1.52126,0.51607
358.0000017,0,3,0.784,8.715552126,1,1,2,0,1,1,0,0,0,1.36344,0.23486
399.0000016,0,5,1.11,8.517193191,1,1,2,1,0,1,1,0,0,1.42271,0.51735
615.000002,0,5,2.551,8.517193191,1,1,1,2,0,1,1,0,0,1.32219,0.5012
431.0000004,0,2,1.42,8.656955134,1,1,1,0,0,1,1,0,0,1.43101,0.68113
452.0000005,0,2,1.42,8.656955134,1,1,1,0,0,1,1,0,0,1.43101,0.68113
550.0000015,0,2,1.523,8.740336743,1,1,1,0,0,1,1,0,0,1.47109,0.63789
415.0000003,0,4,3.409,8.262816938,1,1,2,2,1,1,1,0,0,1.37596,0.55448
373.0000005,0,2,1.076,8.740336743,1,1,1,0,1,0,1,0,0,1.36762,0.58357
515.0000002,0,3,1.445,8.774312958,1,0,1,0,0,1,1,0,0,1.15327,0.62038
405.0000016,0,3,1.425,8.779557456,1,1,1,2,0,1,1,0,0,1.10224,0.59661
519.9999997,0,3,1.425,8.779557456,1,1,1,2,0,1,1,0,0,1.10224,0.59661
449.4999987,0,3,1.008,8.798605651,1,1,1,0,1,1,1,0,0,1.14592,0.35999
345.0000014,0,2,0.884,8.634976227,1,1,1,0,1,1,0,0,0,1.32007,0.23601
435,0,3,1.658,8.9226583,1,1,2,1,0,1,0,0,0,1.26135,0.2413
540.0000008,0,3,1.66,8.634976227,1,1,1,1,0,1,0,0,0,1.2367,0.21723
500.0000013,0,3,1.887,8.831273738,1,1,2,2,1,1,1,0,0,1.23478,0.41448
570.0000001,0,3,1.236,8.476371197,1,1,2,0,0,1,0,0,0,1.30617,0.2305
281.0000005,1,2,0.912,7.937374696,1,1,2,0,0,1,0,0,0,1.27046,0.14835
310.0000011,0,2,0.912,7.937374696,1,1,2,0,0,1,0,0,0,1.27046,0.14835
588.0000018,0,4,1.758,8.517193191,1,0,1,0,1,1,0,0,0,1.26392,0.0909
449.9999992,0,3,1.288,8.383661799,1,1,1,0,0,1,0,0,0,1.25547,0.06546
415.0000003,0,3,0.75,8.383661799,1,1,1,0,1,0,0,0,0,1.25419,0.07293
416.9999997,0,2,1.428,8.50916102,1,1,1,1,0,1,0,0,0,1.22486,0.13064
433.0000013,0,2,1.49,8.517193191,1,1,1,0,1,1,0,0,0,1.13869,0.11573
847.5000015,0,3,1.727,8.830543011,1,1,2,1,1,1,0,0,0,0.84881,0.29989
689,0,3,2.192,8.830543011,1,1,1,2,0,0,0,0,0,0.81184,0.26388
505.0000009,0,4,4.759,8.425077903,1,1,3,3,0,1,0,0,0,0.86617,0.0576
505.0000009,0,5,4.759,8.542470999,1,1,2,3,0,1,0,0,0,0.8579,0.05036
745.000002,0,3,4.132,8.425077903,1,1,2,2,1,1,1,0,0,0.85927,0.43054
535.5000006,0,4,2.9,8.691146499,1,1,2,1,1,1,1,0,0,0.32062,0.06809
410.0000005,0,3,1.369,8.735203591,1,1,1,0,0,1,1,0,0,0.2984,0.02711
599.9999975,0,5,7.555,9.461176908,1,1,3,5,1,1,1,0,0,0.74549,0.43116
